id,name,prefecture,city,region,type,destType,hub,hotelArea,hubStation,accessStation,weight,stayAllowed,tags
"kumejima","久米島","沖縄県","久米島町","沖縄","destination","island","naha","kumejima","那覇空港","久米島空港","1.5","1night","離島|海|自然"
"miyakojima","宮古島","沖縄県","宮古島市","沖縄","destination","island","naha","miyakojima","那覇空港","宮古空港","1.5","1night","離島|海|山"
"kouzushima","神津島","東京都","神津島村","伊豆諸島","destination","island","tokyo-o","kouzushima","竹芝客船ターミナル","神津島港","1.5","1night","離島|山|海"
"hakone","箱根","神奈川県","箱根町","関東","destination","onsen","tokyo-o","hakone","小田原駅","箱根湯本駅","1.2","daytrip|1night","温泉|山|自然"
"shuzenji","修善寺","静岡県","伊豆市","中部","destination","onsen","tokyo-o","shuzenji","三島駅","修善寺駅","1.2","1night","温泉|歴史|寺社"
"kusatsu-onsen","草津温泉","群馬県","草津町","関東","destination","onsen","tokyo-o","kusatsu-onsen","長野原草津口駅","草津温泉バスターミナル","1.2","1night","温泉|山"
"shimoda","下田","静岡県","下田市","中部","destination","city","tokyo-o","shimoda","熱海駅","伊豆急下田駅","1.2","1night","歴史|海|寺社|離島"
"izu-oshima","伊豆大島","東京都","大島町","伊豆諸島","destination","island","tokyo-o","izu-oshima","東京竹芝","元町港","1.5","1night","離島|山|自然|海"
"shirakawago-t","白川郷","岐阜県","岐阜白川郷","中部","destination","sight","gifu","shirakawago","金沢駅","金沢駅","1.2","1night","山|城|寺社"
"arima-onsen","有馬温泉","兵庫県","神戸市","近畿","destination","onsen","kobe","arima-onsen","三ノ宮駅","有馬温泉駅","1.2","1night","温泉|歴史|山"
"kinosaki-onsen","城崎温泉","兵庫県","豊岡市","近畿","destination","onsen","osaka-t","kinosaki-onsen","城崎温泉駅","城崎温泉駅","1.2","1night","温泉|城"
"kurashiki-o","倉敷","岡山県","岡山倉敷","中国","destination","city","okayama-o","kurashiki","倉敷駅","倉敷駅","1.2","daytrip|1night","歴史|寺社"
"shirahama-o","白浜","和歌山県","和歌山白浜","近畿","destination","onsen","osaka-t","shirahama-o","白浜駅","白浜駅","1.2","1night","温泉|海|山|滝"
"takayama-o","高山","岐阜県","岐阜高山","中部","destination","onsen","gifu","takayama","高山駅","高山駅","1.2","1night","温泉|山|歴史|城"
"toba","鳥羽","三重県","鳥羽市","中部","destination","city","nagoya-t","toba","名古屋駅","鳥羽駅","1.2","daytrip|1night","街歩き|海|自然|離島"
"yufuin","湯布院","大分県","由布市","九州","destination","onsen","fukuoka-t","yufuin","大分駅","由布院駅","1.2","1night","温泉|自然|山"
"kurokawa-k","黒川温泉","熊本県","熊本黒川温泉","九州","destination","onsen","kumamoto","kurokawa","博多駅","博多駅","1.2","1night","温泉|自然|山|秘境"
"aso","阿蘇","熊本県","阿蘇市","九州","destination","sight","kumamoto","aso","熊本駅","阿蘇駅","1.2","daytrip|1night","山|自然"
"yakushima","屋久島","鹿児島県","屋久島町","九州","destination","island","kagoshima","yakushima","鹿児島港","安房港","1.5","1night","離島|自然|海|滝"
"amakusa","天草","熊本県","天草市","九州","destination","sight","kumamoto","amakusa","熊本駅","熊本駅","1.2","1night","海|歴史|離島"
"hiraizumi","平泉","岩手県","平泉町","東北","destination","sight","morioka","hiraizumi","一ノ関駅","平泉駅","1.2","daytrip|1night","歴史|寺社"
"kakunodate","角館","秋田県","仙北市","東北","destination","city","morioka","kakunodate","盛岡駅","角館駅","1.2","1night","歴史|城"
"aizu","会津若松","福島県","福島会津若松","東北","destination","onsen","sendai-t","aizu","会津若松駅","会津若松駅","1.2","1night","温泉|城|歴史"
"zaosan","蔵王","宮城県","宮城蔵王","東北","destination","onsen","yamagata","zaosan","蔵王駅","蔵王駅","1.2","1night","温泉|自然|山"
"hagi","萩","山口県","萩市","中国","destination","city","hiroshima-t","hagi","新山口駅","萩駅","1.2","1night","歴史|海|山|城|寺社"
"shimonoseki","下関","山口県","下関市","中国","destination","city","hiroshima-t","shimonoseki","博多駅","下関駅","1.2","daytrip|1night","海|歴史|街歩き|離島"
"naoshima","直島","香川県","直島町","四国","destination","island","okayama-o","naoshima","高松駅","宮浦港","1.5","1night","離島|海|自然"
"kotohira","琴平","香川県","琴平町","四国","destination","city","takamatsu","kotohira","高松駅","琴電琴平駅","1.2","daytrip|1night","街歩き|寺社"
"uwajima","宇和島","愛媛県","宇和島市","四国","destination","city","matsuyama","uwajima","松山駅","宇和島駅","1.2","1night","城|温泉|海|山|歴史|離島"
"toyako","洞爺湖","北海道","洞爺湖町","北海道","destination","onsen","sapporo-t","toyako","洞爺駅","洞爺駅","1.2","1night","温泉|自然|山|海"
"noboribetsu","登別","北海道","登別市","北海道","destination","onsen","sapporo-t","noboribetsu","登別駅","登別駅","1.2","1night","温泉|自然|海"
"shiretoko","知床","北海道","斜里町","北海道","destination","sight","kushiro","shiretoko","知床斜里駅","知床斜里駅","1.2","1night","自然|海|滝|秘境"
"wajima","輪島","石川県","輪島市","中部","destination","sight","kanazawa-t","wajima","金沢駅","輪島バスターミナル","1.2","1night","離島|歴史|海|寺社"
"kaga-onsen","加賀温泉郷","石川県","加賀市","中部","destination","onsen","kanazawa-t","kaga-onsen","加賀温泉駅","加賀温泉駅","1.2","1night","温泉|山"
"hakuba","白馬","長野県","白馬村","中部","destination","sight","matsumoto-n","hakuba","長野駅","白馬駅","1.2","1night","山"
"amanohashidate","天橋立","京都府","宮津市","近畿","destination","sight","osaka-t","amanohashidate","福知山駅","天橋立駅","1.2","daytrip|1night","寺社"
"ine","伊根","京都府","伊根町","近畿","destination","city","osaka-t","ine","天橋立駅","伊根港バス停","1.2","1night","街歩き|海|寺社|離島"
"ibusuki","指宿","鹿児島県","指宿市","九州","destination","onsen","kagoshima","ibusuki","鹿児島中央駅","指宿駅","1.2","daytrip|1night","温泉|自然|離島"
"sasebo","佐世保","長崎県","佐世保市","九州","destination","city","nagasaki","sasebo","博多駅","佐世保駅","1.2","daytrip|1night","離島|海|歴史"
"hirado","平戸","長崎県","平戸市","九州","destination","city","nagasaki","hirado","佐世保駅","佐世保駅","1.2","1night","歴史|海|山|城"
"tottori","鳥取","鳥取県","鳥取市","中国","destination","sight","matsue","tottori","鳥取駅","鳥取駅","1.2","1night","自然|海"
"akita","秋田","秋田県","秋田市","東北","destination","city","morioka","akita","秋田駅","秋田駅","1.2","1night","歴史|街歩き|離島"
"awaji","淡路島","兵庫県","兵庫淡路島","近畿","destination","sight","kobe","awaji","三ノ宮駅","三ノ宮駅","1.2","daytrip|1night","自然|街歩き|歴史|海|離島"
"takao","高尾山","東京都","東京高尾山","関東","destination","sight","tokyo-o","takao","高尾山口駅","高尾山口駅","1.2","daytrip","山|寺社|自然|歴史"
"tateyama-chiba","館山","千葉県","千葉館山","関東","destination","sight","tokyo-o","tateyama-chiba","館山駅","館山駅","1.2","daytrip|1night","海|自然|山|城|離島"
"gokayama","五箇山","富山県","南砺市","中部","destination","sight","kanazawa-t","gokayama","金沢駅","五箇山バス停","1.2","daytrip|1night","歴史|自然|山"
"jozankei","定山渓","北海道","札幌市","北海道","destination","onsen","sapporo-t","jozankei","札幌駅","札幌駅","1.2","1night","温泉|自然|海|山|秘境"
"biei","美瑛","北海道","美瑛町","北海道","destination","sight","asahikawa","biei","旭川駅","美瑛駅","1.2","daytrip|1night","自然"
"miyako-iwate","宮古","岩手県","宮古市","東北","destination","sight","morioka","miyako-iwate","盛岡駅","宮古駅","1.2","daytrip|1night","海|自然|山"
"sakata","酒田","山形県","酒田市","東北","destination","city","yamagata","sakata","新庄駅","酒田駅","1.2","1night","歴史|海|山|街歩き"
"takachiho","高千穂","宮崎県","高千穂町","九州","destination","sight","miyazaki","takachiho","熊本駅","熊本駅","1.2","1night","自然|渓谷|寺社|滝"
"amami","奄美大島","鹿児島県","奄美市","九州","destination","island","kagoshima","amami","鹿児島港","名瀬港","1.5","1night","離島|自然|海"
"goto","五島列島","長崎県","五島市","九州","destination","island","nagasaki","goto","長崎港","福江港","1.5","1night","離島|海|歴史"
"unzen","雲仙","長崎県","雲仙市","九州","destination","onsen","nagasaki","unzen","諫早駅","諫早駅","1.2","1night","温泉|自然|山"
"ashizuri","足摺岬","高知県","土佐清水市","四国","destination","sight","kochi","ashizuri","高知駅","宿毛駅","1.2","1night","自然"
"oboke","大歩危","徳島県","三好市","四国","destination","sight","takamatsu","oboke","高松駅","大歩危駅","1.2","daytrip|1night","渓谷|秘境|自然"
"tsuwano","津和野","島根県","津和野町","中国","destination","city","hiroshima-t","tsuwano","新山口駅","津和野駅","1.2","daytrip|1night","歴史|寺社|山|城"
"inuyama","犬山","愛知県","犬山市","中部","destination","city","nagoya-t","inuyama","名古屋駅","犬山駅","1.2","daytrip|1night","城|歴史|山"
"kiso","木曽","長野県","木曽町","中部","destination","sight","matsumoto-n","kiso","名古屋駅","南木曽駅","1.2","daytrip|1night","歴史|自然|山"
"miyama","美山","京都府","南丹市","近畿","destination","sight","kyoto-t","miyama","園部駅","園部駅","1.2","daytrip|1night","歴史|自然|山"
"tateyama-kurobe","立山黒部","富山県","立山町","中部","destination","sight","kanazawa-t","tateyama-kurobe","富山駅","立山駅","1.2","daytrip|1night","山|自然"
"himi","氷見","富山県","氷見市","中部","destination","onsen","kanazawa-t","himi","高岡駅","氷見駅","1.2","daytrip|1night","温泉|海|街歩き|山|歴史"
"nyuto-onsen","乳頭温泉","秋田県","秋田乳頭温泉","東北","destination","onsen","morioka","nyuto-onsen","田沢湖駅","田沢湖駅","1.2","1night","温泉|自然"
"yuda-onsen","湯田温泉","山口県","山口湯田温泉","中国","destination","onsen","hiroshima-t","yuda-onsen","湯田温泉駅","湯田温泉駅","1.2","1night","温泉|歴史|山|城|寺社"
"ureshino-onsen","嬉野温泉","佐賀県","嬉野市","九州","destination","onsen","saga","ureshino-onsen","嬉野温泉駅","嬉野温泉駅","1.2","1night","温泉|山"
"obuse","小布施","長野県","小布施町","中部","destination","city","matsumoto-n","obuse","長野駅","小布施駅","1.2","daytrip|1night","街歩き|寺社"
"uchiko","内子","愛媛県","内子町","四国","destination","city","matsuyama","uchiko","松山駅","内子駅","1.2","daytrip|1night","街歩き|歴史"
"muroto","室戸","高知県","室戸市","四国","destination","city","kochi","muroto","高知駅","高知駅","1.2","daytrip|1night","街歩き|海|寺社"
"iya","祖谷","徳島県","三好市","四国","destination","onsen","takamatsu","iya","阿波池田駅","阿波池田駅","1.2","1night","温泉|秘境|滝"
"oku-izumo","奥出雲","島根県","島根奥出雲","中国","destination","sight","matsue","oku-izumo","木次駅","木次駅","1.2","daytrip|1night","渓谷|山|自然|歴史"
"ginzan-onsen","銀山温泉","山形県","尾花沢市","東北","destination","onsen","yamagata","ginzan-onsen","大石田駅","大石田駅","1.2","1night","温泉|山|街歩き|滝"
"ouchi-juku","大内宿","福島県","福島大内宿","東北","destination","city","sendai-t","ouchi-juku","会津若松駅","会津若松駅","1.2","daytrip|1night","歴史|街歩き|離島"
"nozawa-onsen","野沢温泉","長野県","野沢温泉村","中部","destination","onsen","matsumoto-n","nozawa-onsen","飯山駅","飯山駅","1.2","1night","温泉|山"
"takehara","竹原","広島県","竹原市","中国","destination","city","hiroshima-t","takehara","広島駅","竹原駅","1.2","daytrip|1night","街歩き|歴史|海"
"tsumago","妻籠","長野県","木曽町","中部","destination","city","nagoya-t","tsumago","名古屋駅","南木曽駅","1.2","daytrip|1night","歴史|山|城"
"magome","馬籠","岐阜県","中津川市","中部","destination","city","nagoya-t","magome","名古屋駅","中津川駅","1.2","daytrip|1night","歴史|山|離島"
"nagahama","長浜","滋賀県","長浜市","近畿","destination","city","osaka-t","nagahama","米原駅","長浜駅","1.2","daytrip|1night","歴史|自然|城"
"hikone","彦根","滋賀県","彦根市","近畿","destination","city","osaka-t","hikone","米原駅","彦根駅","1.2","daytrip|1night","歴史|自然|城"
"koyasan","高野山","和歌山県","高野町","近畿","destination","sight","osaka-t","koyasan","橋本駅","高野山駅","1.2","1night","山|寺社"
"gero-onsen","下呂温泉","岐阜県","下呂市","中部","destination","onsen","nagoya-t","gero-onsen","下呂駅","下呂駅","1.2","1night","温泉|街歩き|寺社"
"naruko-onsen","鳴子温泉","宮城県","大崎市","東北","destination","onsen","sendai-t","naruko-onsen","古川駅","鳴子温泉駅","1.2","1night","温泉|山"
"shima-onsen","四万温泉","群馬県","群馬四万温泉","関東","destination","onsen","tokyo-o","shima-onsen","中之条駅","中之条駅","1.2","1night","温泉|山|歴史"
"hirosaki","弘前","青森県","弘前市","東北","destination","city","morioka","hirosaki","新青森駅","弘前駅","1.2","daytrip|1night","歴史|城|寺社"
"oirase","奥入瀬","青森県","青森奥入瀬","東北","destination","sight","morioka","oirase","八戸駅","八戸駅","1.2","1night","自然|渓谷|滝"
"mashiko","益子","栃木県","益子町","関東","destination","city","tokyo-o","mashiko","宇都宮駅","益子駅","1.2","daytrip|1night","街歩き"
"bessho-onsen","別所温泉","長野県","上田市","中部","destination","onsen","matsumoto-n","bessho-onsen","上田駅","別所温泉駅","1.2","daytrip|1night","温泉|山|自然|寺社"
"izushi","出石","兵庫県","豊岡市","近畿","destination","city","osaka-t","izushi","豊岡駅","豊岡駅","1.2","daytrip|1night","歴史|城|街歩き"
"wakura-onsen","和倉温泉","石川県","七尾市","中部","destination","onsen","kanazawa-t","wakura-onsen","和倉温泉駅","和倉温泉駅","1.2","1night","温泉|海|離島"
"misasa-onsen","三朝温泉","鳥取県","三朝町","中国","destination","onsen","matsue","misasa-onsen","倉吉駅","倉吉駅","1.2","1night","温泉|山"
"obi","飫肥","宮崎県","日南市","九州","destination","city","miyazaki","obi","宮崎駅","飫肥駅","1.2","daytrip|1night","歴史|海|城"
"hitoyoshi","人吉","熊本県","人吉市","九州","destination","onsen","kumamoto","hitoyoshi","熊本駅","人吉駅","1.2","daytrip|1night","温泉|歴史|城|寺社"
"kamikochi","上高地","長野県","松本市","中部","destination","sight","matsumoto-n","kamikochi","松本駅","上高地バスターミナル","1.2","daytrip|1night","山|自然"
"minakami-onsen","水上温泉","群馬県","群馬水上温泉","関東","destination","onsen","tokyo-o","minakami-onsen","水上駅","水上駅","1.2","1night","温泉|山|滝"
"minami-aso","南阿蘇","熊本県","南阿蘇村","九州","destination","sight","kumamoto","minami-aso","熊本駅","熊本駅","1.2","daytrip|1night","山|自然"
"imabari","今治","愛媛県","今治市","四国","destination","city","matsuyama","imabari","松山駅","今治駅","1.2","1night","街歩き|海|城|離島"
"ozu","大洲","愛媛県","大洲市","四国","destination","city","matsuyama","ozu","松山駅","伊予大洲駅","1.2","1night","歴史|山|城|街歩き"
"shakotan","積丹","北海道","積丹町","北海道","destination","sight","sapporo-t","shakotan","小樽駅","積丹バスターミナル","1.2","1night","海|街歩き|離島"
"izumo","出雲","島根県","出雲市","中国","destination","city","matsue","izumo","松江駅","出雲市駅","1.2","daytrip|1night","寺社|歴史|街歩き"
"suzu","珠洲","石川県","珠洲市","中部","destination","sight","kanazawa-t","suzu","金沢駅","珠洲バスターミナル","1.2","1night|2night","海|自然|歴史|秘境"
"yoshino","吉野","奈良県","吉野町","近畿","destination","sight","nara","yoshino","橿原神宮前駅","吉野駅","1.2","1night","自然|歴史|山|寺社"
"kumano","熊野","三重県","熊野市","近畿","destination","sight","nara","kumano","新宮駅","新宮駅","1.2","1night","自然|渓谷|秘境"
"iriomote","西表島","沖縄県","竹富町","沖縄","destination","island","ishigaki","iriomote","石垣港","大原港","1.5","1night","離島|自然|海|滝|秘境"
"takahashi","高梁","岡山県","高梁市","中国","destination","sight","okayama-o","takahashi","岡山駅","備中高梁駅","1.2","1night","城|歴史|海|山|街歩き"
"hida-furukawa","飛騨古川","岐阜県","岐阜飛騨古川","中部","destination","sight","takayama-o","hida-furukawa","飛騨古川駅","飛騨古川駅","1.2","1night","街歩き|歴史|自然|山"
"bungo-takada","豊後高田","大分県","豊後高田市","九州","destination","city","beppu","bungo-takada","宇佐駅","宇佐駅","1.2","1night","街歩き|歴史|海|寺社"
"izu-kogen","伊豆高原","静岡県","伊東市","中部","destination","onsen","atami","izu-kogen","熱海駅","伊豆高原駅","1.2","1night","温泉|海|山|城|離島"
"tanabe","田辺","和歌山県","田辺市","近畿","destination","onsen","nara","tanabe","紀伊田辺駅","紀伊田辺駅","1.2","1night","温泉|歴史|自然|寺社"
"tosa-shimizu","土佐清水","高知県","高知土佐清水","四国","destination","sight","kochi","tosa-shimizu","中村駅","中村駅","1.2","1night","海|歴史"
"nichinan","日南","宮崎県","日南市","九州","destination","city","miyazaki","nichinan","宮崎駅","日南駅","1.2","1night","海|歴史|城|寺社|離島"
"mojiko","門司港","福岡県","福岡門司港","九州","destination","city","fukuoka-t","mojiko","門司港駅","門司港駅","1.2","daytrip|1night","街歩き|歴史|海|自然"
"itoshima","糸島","福岡県","糸島市","九州","destination","sight","fukuoka-t","itoshima","博多駅","筑前前原駅","1.2","daytrip|1night","海|街歩き|離島"
"shimabara","島原","長崎県","島原市","九州","destination","sight","nagasaki","shimabara","諫早駅","島原駅","1.2","1night","歴史|城|自然|山|離島"
"tsuruga","敦賀","福井県","敦賀市","中部","destination","city","fukui","tsuruga","敦賀駅","敦賀駅","1.2","daytrip|1night","海|街歩き|歴史"
"shijishima","志々島","香川県","香川志々島","四国","destination","island","takamatsu-t","shijishima","詫間駅","詫間駅","1.5","daytrip","離島|自然|海"
"sounkyo","層雲峡","北海道","上川町","北海道","destination","onsen","asahikawa","sounkyo","上川駅","層雲峡バスターミナル","1.2","1night|2night","温泉|自然|渓谷|山|滝"
"rebun-island","礼文島","北海道","北海礼文島","北海道","destination","island","sapporo-t","rebun-island","礼文島駅","礼文島駅","1.5","1night|2night","離島|自然|山|海"
"rishiri-island","利尻島","北海道","北海利尻島","北海道","destination","island","sapporo-t","rishiri-island","利尻島駅","利尻島駅","1.5","1night|2night","離島|山|海|自然"
"akan","阿寒湖","北海道","釧路市","北海道","destination","onsen","kushiro","akan","釧路駅","釧路駅","1.2","1night|2night","温泉|自然"
"abashiri","網走","北海道","網走市","北海道","destination","city","kushiro","abashiri","網走駅","網走駅","1.2","1night|2night","街歩き|自然|海"
"shikotsu","支笏湖","北海道","千歳市","北海道","destination","onsen","sapporo-t","shikotsu","千歳駅","支笏湖バス停","1.2","1night","温泉|自然"
"tono","遠野","岩手県","遠野市","東北","destination","city","morioka","tono","新花巻駅","遠野駅","1.2","1night","歴史|自然"
"oga","男鹿","秋田県","男鹿市","東北","destination","onsen","sendai-t","oga","秋田駅","男鹿駅","1.2","1night","温泉|海|自然|山|離島"
"yonezawa","米沢","山形県","米沢市","東北","destination","city","yamagata","yonezawa","米沢駅","米沢駅","1.2","1night","歴史|街歩き|城|寺社"
"dewa-sanzan","出羽三山","山形県","鶴岡市","東北","destination","sight","yamagata","dewa-sanzan","鶴岡駅","鶴岡駅","1.2","1night|2night","寺社|自然|山|温泉"
"sakunami-onsen","秋保温泉","宮城県","宮城秋保温泉","東北","destination","onsen","sendai-t","sakunami-onsen","仙台駅","仙台駅","1.2","1night","温泉|滝|自然"
"goshogawara","五所川原","青森県","五所川原市","東北","destination","city","sendai-t","goshogawara","青森駅","五所川原駅","1.2","1night","歴史|自然"
"kawagoe","川越","埼玉県","川越市","関東","destination","city","tokyo-o","kawagoe","大宮駅","川越駅","1.2","daytrip|1night","歴史|街歩き|城"
"nasu","那須","栃木県","那須町","関東","destination","onsen","tokyo-o","nasu","那須塩原駅","那須塩原駅","1.2","1night|2night","温泉|自然|山"
"choshi","銚子","千葉県","銚子市","関東","destination","city","tokyo-o","choshi","千葉駅","銚子駅","1.2","1night","海|街歩き|自然"
"ashikaga","足利","栃木県","足利市","関東","destination","city","tokyo-o","ashikaga","小山駅","足利駅","1.2","daytrip|1night","歴史|自然|寺社"
"shiobara-onsen","塩原温泉","栃木県","那須塩原市","関東","destination","onsen","tokyo-o","shiobara-onsen","那須塩原駅","那須塩原駅","1.2","1night","温泉|渓谷|自然"
"sado-island","佐渡島","新潟県","新潟佐渡島","中部","destination","island","niigata","sado-island","佐渡島駅","佐渡島駅","1.5","1night|2night","離島|歴史|山|自然|海"
"kiyosato","清里","山梨県","北杜市","中部","destination","sight","kofu","kiyosato","小淵沢駅","清里駅","1.2","1night|2night","山|自然"
"tenryu-gorge","天竜峡","長野県","長野天竜峡","中部","destination","sight","iida","tenryu-gorge","天竜峡駅","天竜峡駅","1.2","1night","渓谷|自然|温泉"
"suwa","諏訪","長野県","諏訪市","中部","destination","onsen","matsumoto-n","suwa","塩尻駅","上諏訪駅","1.2","1night","温泉|寺社|自然"
"eiheiji","永平寺","福井県","永平寺町","中部","destination","sight","fukui","eiheiji","福井駅","永平寺口駅","1.2","daytrip|1night","寺社|山"
"wakasa-obama","若狭小浜","福井県","小浜市","中部","destination","city","fukui","wakasa-obama","敦賀駅","小浜駅","1.2","1night","海|歴史|街歩き|寺社"
"okuhida-onsen","奥飛騨温泉郷","岐阜県","高山市","中部","destination","onsen","matsumoto-n","okuhida-onsen","高山駅","平湯温泉バスターミナル","1.2","1night|2night","温泉|自然|山"
"minami-izu","南伊豆","静岡県","南伊豆町","中部","destination","sight","shizuoka","minami-izu","下田駅","下田駅","1.2","1night|2night","海|温泉|自然|離島"
"echizen","越前市","福井県","越前市","中部","destination","city","fukui","echizen","福井駅","武生駅","1.2","1night","歴史|街歩き|自然"
"ito","伊東","静岡県","伊東市","中部","destination","onsen","shizuoka","ito","熱海駅","伊東駅","1.2","1night","温泉|海|街歩き|山|城|離島"
"iga","伊賀","三重県","三重伊賀","近畿","destination","city","osaka-t","iga","上野市駅","上野市駅","1.2","daytrip|1night","歴史|城"
"kashihara","橿原","奈良県","橿原市","近畿","destination","city","osaka-t","kashihara","大阪駅","橿原神宮前駅","1.2","daytrip|1night","歴史|寺社"
"totsukawa","十津川","奈良県","十津川村","近畿","destination","onsen","osaka-t","totsukawa","五条駅","五条駅","1.2","1night|2night","温泉|渓谷|自然|秘境|寺社"
"maizuru","舞鶴","京都府","舞鶴市","近畿","destination","city","kyoto-t","maizuru","東舞鶴駅","東舞鶴駅","1.2","1night","歴史|海"
"asuka","飛鳥","奈良県","明日香村","近畿","destination","sight","osaka-t","asuka","橿原神宮前駅","飛鳥駅","1.2","daytrip|1night","歴史|寺社"
"daisen","大山","鳥取県","大山町","中国","destination","sight","matsue","daisen","米子駅","米子駅","1.2","1night|2night","山|自然|温泉|寺社"
"yunotsu-onsen","温泉津","島根県","大田市","中国","destination","onsen","matsue","yunotsu-onsen","大田市駅","温泉津駅","1.2","1night","温泉|歴史|海|山"
"iwami-ginzan","石見銀山","島根県","大田市","中国","destination","sight","matsue","iwami-ginzan","大田市駅","大田市駅","1.2","daytrip|1night","歴史|山|自然|寺社"
"iwakuni","岩国","山口県","岩国市","中国","destination","city","hiroshima-t","iwakuni","広島駅","岩国駅","1.2","daytrip|1night","歴史|山|城"
"kurayoshi","倉吉","鳥取県","倉吉市","中国","destination","city","matsue","kurayoshi","倉吉駅","倉吉駅","1.2","daytrip|1night","歴史|温泉|城"
"suo-oshima","周防大島","山口県","周防大島町","中国","destination","island","hiroshima-t","suo-oshima","広島駅","大畠駅","1.2","1night|2night","離島|海|自然"
"shimanto","四万十","高知県","四万十市","四国","destination","sight","kochi","shimanto","高知駅","江川崎駅","1.2","1night|2night","自然"
"kashiwajima","柏島","高知県","大月町","四国","destination","island","kochi","kashiwajima","宿毛駅","宿毛駅","1.5","1night|2night","離島|海|秘境"
"saijo","西条","愛媛県","西条市","四国","destination","city","matsuyama","saijo","松山駅","伊予西条駅","1.2","daytrip|1night","街歩き|自然|山"
"ainan","愛南","愛媛県","愛媛愛南","四国","destination","sight","kochi","ainan","宇和島駅","宇和島駅","1.2","1night|2night","海|自然|温泉"
"taketa","竹田","大分県","竹田市","九州","destination","onsen","kumamoto","taketa","豊後竹田駅","豊後竹田駅","1.2","1night","温泉|歴史|城"
"usuki","臼杵","大分県","臼杵市","九州","destination","city","kumamoto","usuki","大分駅","臼杵駅","1.2","daytrip|1night","歴史|城"
"hita","日田","大分県","日田市","九州","destination","onsen","fukuoka-t","hita","久留米駅","日田駅","1.2","1night","温泉|歴史"
"hasami","波佐見","長崎県","波佐見町","九州","destination","city","nagasaki","hasami","川棚温泉駅","川棚温泉駅","1.2","daytrip|1night","歴史|山"
"takeo-onsen","武雄温泉","佐賀県","武雄市","九州","destination","onsen","saga","takeo-onsen","武雄温泉駅","武雄温泉駅","1.2","1night","温泉|歴史|山"
"kitsuki","杵築","大分県","杵築市","九州","destination","city","kumamoto","kitsuki","杵築駅","杵築駅","1.2","daytrip|1night","歴史|城"
"tsushima","対馬","長崎県","対馬市","九州","destination","island","fukuoka-t","tsushima","福岡空港","対馬空港","1.5","1night|2night","離島|自然|歴史|海|城"
"iki-island","壱岐","長崎県","長崎壱岐","九州","destination","island","fukuoka-t","iki-island","壱岐駅","壱岐駅","1.5","1night|2night","離島|海|歴史"
